date,tweet,word,source_file
2020-05-25,81,81,81
2020-05-26,90,90,90
2020-05-27,31,31,31
2020-05-28,66,66,66
2020-05-29,91,91,91
2020-05-30,89,89,89
2020-05-31,47,47,47
2020-06-01,87,87,87
2020-06-02,84,84,84
2020-06-03,85,85,85
2020-06-04,90,90,90
2020-06-05,83,83,83
2020-06-06,64,64,64
2020-06-07,70,70,70
2020-06-08,74,74,74
2020-06-09,71,71,71
2020-06-10,74,74,74
2020-06-11,75,75,75
2020-06-12,73,73,73
2020-06-13,76,76,76
2020-06-14,98,98,98
2020-06-15,88,88,88
2020-06-16,77,77,77
2020-06-17,76,76,76
2020-06-18,70,70,70
2020-06-19,78,78,78
2020-06-20,68,68,68
2020-06-21,78,78,78
2020-06-22,82,82,82
2020-06-23,77,77,77
2020-06-24,84,84,84
2020-06-25,75,75,75
2020-06-26,72,72,72
2020-06-27,82,82,82
2020-06-28,21,21,21
2020-06-29,74,74,74
2020-06-30,6,6,6
2020-07-01,74,74,74
2020-07-02,76,76,76
2020-07-03,73,73,73
2020-07-04,73,73,73
2020-07-05,67,67,67
2020-07-06,77,77,77
2020-07-07,82,82,82
2020-07-08,79,79,79
2020-07-09,73,73,73
2020-07-10,84,84,84
2020-07-11,69,69,69
2020-07-12,73,73,73
2020-07-13,60,60,60
2020-07-14,68,68,68
2020-07-15,84,84,84
2020-07-16,82,82,82
2020-07-17,74,74,74
2020-07-18,87,87,87
2020-07-19,69,69,69
2020-07-20,63,63,63
2020-07-21,71,71,71
2020-07-22,77,77,77
2020-07-23,77,77,77
2020-07-24,72,72,72
2020-07-25,71,71,71
2020-07-26,71,71,71
2020-07-27,78,78,78
2020-07-28,78,78,78
2020-07-29,77,77,77
2020-07-30,80,80,80
2020-08-01,67,67,67
2020-08-02,75,75,75
2020-08-03,72,72,72
2020-08-04,74,74,74
2020-08-05,68,68,68
2020-08-06,73,73,73
2020-08-07,77,77,77
2020-08-08,72,72,72
2020-08-09,79,79,79
2020-08-10,54,54,54
2020-08-11,80,80,80
2020-08-12,69,69,69
2020-08-13,81,81,81
2020-08-14,83,83,83
2020-08-15,70,70,70
2020-08-16,75,75,75
2020-08-17,77,77,77
2020-08-18,76,76,76
2020-08-19,69,69,69
2020-08-20,56,56,56
2020-08-21,75,75,75
2020-08-22,80,80,80
2020-08-23,68,68,68
2020-08-24,74,74,74
