date,tweet,word,source_file
2023-10-07,35,35,35
2023-10-08,73,73,73
2023-10-09,81,81,81
2023-10-10,79,79,79
2023-10-11,82,82,82
2023-10-12,68,68,68
2023-10-13,77,77,77
2023-10-14,67,67,67
2023-10-15,76,76,76
2023-10-16,88,88,88
2023-10-17,83,83,83
2023-10-18,76,76,76
2023-10-19,61,61,61
2023-10-20,65,65,65
2023-10-21,71,71,71
2023-10-22,66,66,66
2023-10-23,64,64,64
2023-10-24,65,65,65
2023-10-25,71,71,71
2023-10-26,71,71,71
2023-10-27,66,66,66
2023-10-28,66,66,66
2023-10-29,62,62,62
2023-10-30,66,66,66
2023-10-31,74,74,74
2023-11-01,73,73,73
2023-11-02,66,66,66
2023-11-03,69,69,69
2023-11-04,74,74,74
2023-11-05,73,73,73
2023-11-06,79,79,79
2023-11-07,68,68,68
2023-11-08,72,72,72
2023-11-09,97,97,97
2023-11-10,88,88,88
2023-11-11,81,81,81
2023-11-12,88,88,88
2023-11-13,76,76,76
2023-11-14,88,88,88
2023-11-15,68,68,68
2023-11-16,68,68,68
2023-11-17,73,73,73
2023-11-18,67,67,67
2023-11-19,83,83,83
2023-11-20,64,64,64
2023-11-21,69,69,69
2023-11-22,71,71,71
2023-11-23,69,69,69
2023-11-24,74,74,74
2023-11-25,73,73,73
2023-11-26,61,61,61
2023-11-27,72,72,72
2023-11-28,67,67,67
2023-11-29,62,62,62
2023-11-30,76,76,76
2023-12-01,82,82,82
2023-12-02,83,83,83
2023-12-03,75,75,75
2023-12-04,81,81,81
2023-12-05,72,72,72
2023-12-06,69,69,69
2023-12-07,70,70,70
2023-12-08,72,72,72
2023-12-09,79,79,79
2023-12-10,68,68,68
2023-12-11,82,82,82
2023-12-12,76,76,76
2023-12-13,76,76,76
2023-12-14,62,62,62
2023-12-15,102,102,102
2023-12-16,87,87,87
2023-12-17,77,77,77
2023-12-18,80,80,80
2023-12-19,80,80,80
2023-12-20,62,62,62
2023-12-21,64,64,64
2023-12-22,77,77,77
2023-12-23,66,66,66
2023-12-24,67,67,67
2023-12-25,65,65,65
2023-12-26,78,78,78
2023-12-27,68,68,68
2023-12-28,69,69,69
2023-12-29,59,59,59
2023-12-30,74,74,74
2023-12-31,92,92,92
2024-01-01,78,78,78
2024-01-02,77,77,77
2024-01-03,87,87,87
2024-01-04,93,93,93
2024-01-05,87,87,87
2024-01-06,68,68,68
