"","...1","date","tweet","word","source_file","masked_tweet"
"1",0,2023-10-07,"I genuinely cannot comprehend how someone can be a zionist like at all. U have to be a bad person or only get misinformation and theres no excuse for the latter actually","zionist","scraped_tweets_zionist_43618.json","I genuinely cannot comprehend how someone can be a <mask> like at all. U have to be a bad person or only get misinformation and theres no excuse for the latter actually"
"2",2,2023-10-07,"lemme say this now if you're a zionist or support Israel in any way hard block me immediately","zionist","scraped_tweets_zionist_43618.json","lemme say this now if you're a <mask> or support Israel in any way hard block me immediately"
"3",9,2023-10-07,"Now is it a coincidence that the same group of people who support Ukrainian Nazi aggression also support Israeli Nazis (Zionists) aggression?  All the while invoking false claims of self defense and pretending to oppose racism?","zionist","scraped_tweets_zionist_43618.json","Now is it a coincidence that the same group of people who support Ukrainian Nazi aggression also support Israeli Nazis (<mask>) aggression?  All the while invoking false claims of self defense and pretending to oppose racism?"
"4",11,2023-10-07,"Zionists aren’t civilians 
Setters aren’t civilians 
All are complicit in this crime","zionist","scraped_tweets_zionist_43618.json","<mask> aren’t civilians 
Setters aren’t civilians 
All are complicit in this crime"
"5",12,2023-10-07,"Malaysian National and #ConInc shill Ian Miles Cheong now using his Twitter platform to push international Zionist talking points. He pays no American taxes & will make money off of ad-revenue for this post--in addition to whatever he's getting paid to promote this propaganda.…","zionist","scraped_tweets_zionist_43618.json","Malaysian National and #ConInc shill Ian Miles Cheong now using his Twitter platform to push international <mask> talking points. He pays no American taxes & will make money off of ad-revenue for this post--in addition to whatever he's getting paid to promote this propaganda.…"
"6",14,2023-10-07,"“You can support Palestinian resistance without excusing the harm of civilians” and you can condemn SA without pandering to Zionists and whitewashing the most brutal occupation in modern history.","zionist","scraped_tweets_zionist_43618.json","“You can support Palestinian resistance without excusing the harm of civilians” and you can condemn SA without pandering to <mask> and whitewashing the most brutal occupation in modern history."
"7",16,2023-10-07,"the way all these celebs could’ve just stayed quiet… now everyone knows you’re a disgusting zionist just because you wanted to post an instagram story","zionist","scraped_tweets_zionist_43618.json","the way all these celebs could’ve just stayed quiet… now everyone knows you’re a disgusting <mask> just because you wanted to post an instagram story"
"8",17,2023-10-07,"imagine coming out as a zionist and then letting everyone know you have no idea what you’re even talking about and are just being performative by deleting your stance a couple hours later. like you can’t be serious.","zionist","scraped_tweets_zionist_43618.json","imagine coming out as a <mask> and then letting everyone know you have no idea what you’re even talking about and are just being performative by deleting your stance a couple hours later. like you can’t be serious."
"9",19,2023-10-07,"Look who is talking an over active social media attention seeker...
 A occupier/colonizer.... 
a zionist terror apologist.. 
Who always approves and defends  israeli crimes BUTT expects no response. 
Silly bald clown .. go chew on a shoe!! ziotard.","zionist","scraped_tweets_zionist_43618.json","Look who is talking an over active social media attention seeker...
 A occupier/colonizer.... 
a <mask> terror apologist.. 
Who always approves and defends  israeli crimes BUTT expects no response. 
Silly bald clown .. go chew on a shoe!! ziotard."
"10",22,2023-10-07,"This is a threat thinly disguised as a cry for help, with the implied premise being that our government will destroy everything for its own citizens to achieve everything for the zionist project.","zionist","scraped_tweets_zionist_43618.json","This is a threat thinly disguised as a cry for help, with the implied premise being that our government will destroy everything for its own citizens to achieve everything for the <mask> project."
"11",23,2023-10-07,"gonna log off for a bit bc i’m kinda triggered by the war conflict stuff going on with Palestine and Israel rn, especially after seeing that vid of the lifeless girl being spat on. but id just like to say, my account is NOT a safe place for zionists. Free Palestine take care","zionist","scraped_tweets_zionist_43618.json","gonna log off for a bit bc i’m kinda triggered by the war conflict stuff going on with Palestine and Israel rn, especially after seeing that vid of the lifeless girl being spat on. but id just like to say, my account is NOT a safe place for <mask>. Free Palestine take care"
"12",24,2023-10-07,"What Israel is doing to Gaza is definition of terrorism 

There is no war. There is no army with high advance tanks/weapons for the Palestinians 

Instead Gaza is a massacre place where Zionist can do as their please with bombings with the power like USA/EU letting it happen","zionist","scraped_tweets_zionist_43618.json","What Israel is doing to Gaza is definition of terrorism 

There is no war. There is no army with high advance tanks/weapons for the Palestinians 

Instead Gaza is a massacre place where <mask> can do as their please with bombings with the power like USA/EU letting it happen"
"13",26,2023-10-07,"This is why Palestinians, including women and children, never have had the privilege of being viewed as “civilians.” To the Zionist entity, every Palestinian is a target.","zionist","scraped_tweets_zionist_43618.json","This is why Palestinians, including women and children, never have had the privilege of being viewed as “civilians.” To the <mask> entity, every Palestinian is a target."
"14",27,2023-10-07,"always knew my insta oomfs were superior because I haven’t seen nobody postin no zionist propaganda","zionist","scraped_tweets_zionist_43618.json","always knew my insta oomfs were superior because I haven’t seen nobody postin no <mask> propaganda"
